landlot_address,centroid_x,centroid_y,polygon_geom,vertices
경기도 수원시 권선구 구운동 496-6,126.97436523175743,37.277324939018364,"POLYGON ((126.97332 37.277609, 126.973463 37.27711, 126.973541 37.27688, 126.973821 37.276654, 126.975396 37.276619, 126.97553 37.276954, 126.975172 37.277548, 126.974852 37.277896, 126.974566 37.278115, 126.973962 37.278161, 126.973476 37.277933, 126.97332 37.277609))","[[126.97332, 37.277609], [126.973463, 37.27711], [126.973541, 37.27688], [126.973821, 37.276654], [126.975396, 37.276619], [126.97553, 37.276954], [126.975172, 37.277548], [126.974852, 37.277896], [126.974566, 37.278115], [126.973962, 37.278161], [126.973476, 37.277933], [126.97332, 37.277609]]"
경기도 수원시 팔달구 우만동 518 유경프라자,127.03339712910008,37.28671132349454,"POLYGON ((127.032626 37.286805, 127.03256 37.286421, 127.032755 37.286118, 127.033346 37.286069, 127.03416 37.286327, 127.034414 37.286582, 127.03389 37.287105, 127.03389 37.287105, 127.033628 37.287367, 127.033366 37.287629, 127.033112 37.287374, 127.032626 37.286805))","[[127.032626, 37.286805], [127.03256, 37.286421], [127.032755, 37.286118], [127.033346, 37.286069], [127.03416, 37.286327], [127.034414, 37.286582], [127.03389, 37.287105], [127.03389, 37.287105], [127.033628, 37.287367], [127.033366, 37.287629], [127.033112, 37.287374], [127.032626, 37.286805]]"
경기도 수원시 팔달구 매산로3가 32-1 KCC파크타운,127.00955267586014,37.269904742440296,"POLYGON ((127.008744 37.269802, 127.008766 37.269666, 127.008887 37.269326, 127.009226 37.269128, 127.009871 37.269078, 127.010261 37.269816, 127.010113 37.270553, 127.009984 37.270889, 127.0093 37.270628, 127.008744 37.269802))","[[127.008744, 37.269802], [127.008766, 37.269666], [127.008887, 37.269326], [127.009226, 37.269128], [127.009871, 37.269078], [127.010261, 37.269816], [127.010113, 37.270553], [127.009984, 37.270889], [127.0093, 37.270628], [127.008744, 37.269802]]"
경기도 수원시 장안구 이목동 338-6,126.98401994773012,37.31077476082603,"POLYGON ((126.983801 37.309758, 126.983943 37.309576, 126.984258 37.309752, 126.985073 37.31096, 126.984786 37.311178, 126.983328 37.31179, 126.983069 37.311539, 126.983801 37.309758))","[[126.983801, 37.309758], [126.983943, 37.309576], [126.984258, 37.309752], [126.985073, 37.31096], [126.984786, 37.311178], [126.983328, 37.31179], [126.983069, 37.311539], [126.983801, 37.309758]]"
경기도 수원시 장안구 정자동 937 동남보건전문대학,126.98716242338182,37.29787936844413,"POLYGON ((126.986249 37.297876, 126.986451 37.29756, 126.987597 37.296984, 126.987896 37.297183, 126.987928 37.298264, 126.987817 37.298444, 126.987705 37.298624, 126.98635 37.298386, 126.986047 37.298192, 126.986249 37.297876))","[[126.986249, 37.297876], [126.986451, 37.29756], [126.987597, 37.296984], [126.987896, 37.297183], [126.987928, 37.298264], [126.987817, 37.298444], [126.987705, 37.298624], [126.98635, 37.298386], [126.986047, 37.298192], [126.986249, 37.297876]]"
경기도 수원시 장안구 정자동 937 동남보건전문대학 사담기념관동,126.98716242338182,37.29787936844413,"POLYGON ((126.986249 37.297876, 126.986451 37.29756, 126.987597 37.296984, 126.987896 37.297183, 126.987928 37.298264, 126.987817 37.298444, 126.987705 37.298624, 126.98635 37.298386, 126.986047 37.298192, 126.986249 37.297876))","[[126.986249, 37.297876], [126.986451, 37.29756], [126.987597, 37.296984], [126.987896, 37.297183], [126.987928, 37.298264], [126.987817, 37.298444], [126.987705, 37.298624], [126.98635, 37.298386], [126.986047, 37.298192], [126.986249, 37.297876]]"
경기도 수원시 장안구 영화동 421-1,127.00564545059822,37.28876531566483,"POLYGON ((127.004649 37.288596, 127.004804 37.288271, 127.006109 37.28787, 127.006392 37.288092, 127.006528 37.288479, 127.006507 37.289079, 127.006358 37.289406, 127.005192 37.28962, 127.004913 37.289392, 127.004649 37.288596))","[[127.004649, 37.288596], [127.004804, 37.288271], [127.006109, 37.28787], [127.006392, 37.288092], [127.006528, 37.288479], [127.006507, 37.289079], [127.006358, 37.289406], [127.005192, 37.28962], [127.004913, 37.289392], [127.004649, 37.288596]]"
경기도 수원시 영통구 망포동 686 동수원자이1차,127.0535693539301,37.236708938014054,"POLYGON ((127.052578 37.23662, 127.052577 37.23626, 127.053354 37.235752, 127.053514 37.235749, 127.053675 37.235748, 127.054632 37.236656, 127.054083 37.237726, 127.053812 37.237665, 127.052904 37.23727, 127.052578 37.23662))","[[127.052578, 37.23662], [127.052577, 37.23626], [127.053354, 37.235752], [127.053514, 37.235749], [127.053675, 37.235748], [127.054632, 37.236656], [127.054083, 37.237726], [127.053812, 37.237665], [127.052904, 37.23727], [127.052578, 37.23662]]"
경기도 수원시 영통구 매탄동 810-1 현대아파트,127.04307439151542,37.268212599400556,"POLYGON ((127.042254 37.268215, 127.042215 37.267871, 127.042551 37.267485, 127.042761 37.26742, 127.042763 37.26742, 127.042974 37.267356, 127.043383 37.267516, 127.043644 37.267623, 127.043914 37.268093, 127.044015 37.268438, 127.043669 37.268872, 127.043449 37.268939, 127.043449 37.268939, 127.043229 37.269005, 127.042443 37.268891, 127.042254 37.268215))","[[127.042254, 37.268215], [127.042215, 37.267871], [127.042551, 37.267485], [127.042761, 37.26742], [127.042763, 37.26742], [127.042974, 37.267356], [127.043383, 37.267516], [127.043644, 37.267623], [127.043914, 37.268093], [127.044015, 37.268438], [127.043669, 37.268872], [127.043449, 37.268939], [127.043449, 37.268939], [127.043229, 37.269005], [127.042443, 37.268891], [127.042254, 37.268215]]"
경기도 수원시 팔달구 매산로1가 115-1,127.00106677002005,37.27027139241285,"POLYGON ((127.000053 37.26994, 127.000989 37.269558, 127.002071 37.26989, 127.00214 37.270243, 127.002085 37.2705, 127.001872 37.27079, 127.000615 37.270964, 126.999874 37.270252, 127.000053 37.26994))","[[127.000053, 37.26994], [127.000989, 37.269558], [127.002071, 37.26989], [127.00214, 37.270243], [127.002085, 37.2705], [127.001872, 37.27079], [127.000615, 37.270964], [126.999874, 37.270252], [127.000053, 37.26994]]"
